Team Cohere, :, Aakanksha and 227 more,neither
Frontend Diffusion: Empowering Self-Representation of Junior Researchers and Designers Through Agentic Workflows,neither,,
Jakiro: Boosting Speculative Decoding with Decoupled Multi-Head via MoE,neither,,
MAPoRL: Multi-Agent Post-Co-Training for Collaborative Large Language Models with Reinforcement Learning,neither,,
Protecting Users From Themselves: Safeguarding Contextual Privacy in Interactions with Conversational Agents,neither,,
Quantifying the Capability Boundary of DeepSeek Models: An Application-Driven Performance Analysis,neither,,
Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention,neither,,
BenchMAX: A Comprehensive Multilingual Evaluation Suite for Large Language Models,neither,,
An Analyst-Inspector Framework for Evaluating Reproducibility of LLMs in Data Science,neither,,
CODESYNC: Synchronizing Large Language Models with Dynamic Code Evolution at Scale,neither,,
Navigation-GPT: A Robust and Adaptive Framework Utilizing Large Language Models for Navigation Applications,neither,,
ChineseEcomQA: A Scalable E-commerce Concept Evaluation Benchmark for Large Language Models,neither,,
You need to MIMIC to get FAME: Solving Meeting Transcript Scarcity with a Multi-Agent Conversations,neither,,
LLMPopcorn: An Empirical Study of LLMs as Assistants for Popular Micro-video Generation,neither,,
X-Boundary: Establishing Exact Safety Boundary to Shield LLMs from Multi-Turn Jailbreaks without Compromising Usability,neither,,
How Far are LLMs from Being Our Digital Twins? A Benchmark for Persona-Based Behavior Chain Simulation,neither,,
Towards Robust ESG Analysis Against Greenwashing Risks: Aspect-Action Analysis with Cross-Category Generalization,neither,,
Can LLMs Maintain Fundamental Abilities under KV Cache Compression?,neither,,
Deception in LLMs: Self-Preservation and Autonomous Goals in Large Language Models,neither,,
Towards Safe AI Clinicians: A Comprehensive Study on Large Language Model Jailbreaking in Healthcare,neither,,
"AIBrix: Towards Scalable, Cost-Effective Large Language Model Inference Infrastructure",neither,,
Differentially Private Policy Gradient,neither,,
AdaServe: Accelerating Multi-SLO LLM Serving with SLO-Customized Speculative Decoding,neither,,
Jailbreak-AudioBench: In-Depth Evaluation and Analysis of Jailbreak Threats for Large Audio Language Models,neither,,
Value Compass Leaderboard: A Platform for Fundamental and Validated Evaluation of LLMs Values,neither,,
s1: Simple test-time scaling,neither,,
Distilling Large Language Models for Network Active Queue Management,neither,,
Transcoders Beat Sparse Autoencoders for Interpretability,neither,,
LLMPC: Large Language Model Predictive Control,neither,,
"Maher, Gabriel",neither,,
Partially Rewriting a Transformer in Natural Language,neither,,
Are DeepSeek R1 And Other Reasoning Models More Faithful?,neither,,
WILDCHAT-50M: A Deep Dive Into the Role of Synthetic Data in Post-Training,neither,,
o3-mini vs DeepSeek-R1: Which One is Safer?,neither,,
Quantification of Large Language Model Distillation,neither,,
SCP-116K: A High-Quality Problem-Solution Dataset and a Generalized Pipeline for Automated Extraction in the Higher Education Science Domain,neither,,
Demystifying Domain-adaptive Post-training for Financial LLMs,neither,,
FIT-Print: Towards False-claim-resistant Model Ownership Verification via Targeted Fingerprint,neither,,
"ARWKV: Pretrain is not what we need, an RNN-Attention-Based Language Model Born from Transformer",neither,,
Lessons from complexity theory for AI governance,neither,,
UAVs Meet LLMs: Overviews and Perspectives Toward Agentic Low-Altitude Mobility,neither,,
The Dual-use Dilemma in LLMs: Do Empowering Ethical Capacities Make a Degraded Utility?,neither,,
REINFORCE++: An Efficient RLHF Algorithm with Robustness to Both Prompt and Reward Models,neither,,
LongProc: Benchmarking Long-Context Language Models on Long Procedural Generation,neither,,
OpenOmni: Advancing Open-Source Omnimodal Large Language Models with Progressive Multimodal Alignment and Real-Time Self-Aware Emotional Speech Synthesis,neither,,
Accelerating LLM Inference with Lossless Speculative Decoding Algorithms for Heterogeneous Vocabularies,neither,,
Language Games as the Pathway to Artificial Superhuman Intelligence,neither,,
Unifying Two Types of Scaling Laws from the Perspective of Conditional Kolmogorov Complexity,neither,,
PRMBench: A Fine-grained and Challenging Benchmark for Process-Level Reward Models,neither,,
Towards Adaptive Self-Improvement for Smarter Energy Systems,neither,,
On the Limit of Language Models as Planning Formalizers,neither,,
Process-Supervised Reward Models for Verifying Clinical Note Generation: A Scalable Approach Guided by Domain Expertise,neither,,
AI and Deep Learning for THz Ultra-Massive MIMO: From Model-Driven Approaches to Foundation Models,neither,,
My Words Imply Your Opinion: Reader Agent-based Propagation Enhancement for Personalized Implicit Emotion Analysis,neither,,
Core Context Aware Transformers for Long Context Language Modeling,neither,,
"Murphy, Kevin",neither,,
Transparent and Coherent Procedural Mistake Detection,neither,,
Unbiased Region-Language Alignment for Open-Vocabulary Dense Prediction,neither,,
MoEtion: Efficient and Reliable Sparse Checkpointing for Mixture-of-Experts Models at Scale,neither,,
SATA: A Paradigm for LLM Jailbreak via Simple Assistive Task Linkage,neither,,
Unifying KV Cache Compression for Large Language Models with LeanKV,neither,,
7B Fully Open Source Moxin-LLM -- From Pretraining to GRPO-based Reinforcement Learning Enhancement,neither,,
RareAgents: Advancing Rare Disease Care through LLM-Empowered Multi-disciplinary Team,neither,,
SPDZCoder: Combining Expert Knowledge with LLMs for Generating Privacy-Computing Code,neither,,
Cocoa: Co-Planning and Co-Execution with AI Agents,neither,,
GroverGPT: A Large Language Model with 8 Billion Parameters for Quantum Searching,neither,,
AD-LLM: Benchmarking Large Language Models for Anomaly Detection,neither,,
Reinforcement Learning: An Overview,neither,,
Enhancing Code LLMs with Reinforcement Learning in Code Generation: A Survey,neither,,
ProSec: Fortifying Code LLMs with Proactive Security Alignment,neither,,
StarWhisper Telescope: Agent-Based Observation Assistant System to Approach AI Astrophysicist,neither,,
Selective Reviews of Bandit Problems in AI via a Statistical View,neither,,
CRMArena: Understanding the Capacity of LLM Agents to Perform Professional CRM Tasks in Realistic Environments,neither,,
DART-LLM: Dependency-Aware Multi-Robot Task Decomposition and Execution using Large Language Models,neither,,
Detecting Children with Autism Spectrum Disorder based on Script-Centric Behavior Understanding with Emotional Enhancement,neither,,
Natural Language Reinforcement Learning,neither,,
AutoElicit: Using Large Language Models for Expert Prior Elicitation in Predictive Modelling,neither,,
Probing the limitations of multimodal language models for chemistry and materials research,neither,,
Humans and Large Language Models in Clinical Decision Support: A Study with Medical Calculators,neither,,
A Generation Framework with Strict Constraints for Crystal Materials Design,neither,,
"Redkar, Neel",neither,,
Large Language Model-Brained GUI Agents: A Survey,neither,,
Watching the Watchers: Exposing Gender Disparities in Machine Translation Quality Estimation,neither,,
Position: On-Premises LLM Deployment Demands a Middle Path: Preserving Privacy Without Sacrificing Model Confidentiality,neither,,
Understanding Layer Significance in LLM Alignment,neither,,
What Do LLMs Need to Understand Graphs: A Survey of Parametric Representation of Graphs,neither,,
Agentic Information Retrieval,neither,,
Differential Transformer,neither,,
TrendFact: A Benchmark for Explainable Hotspot Perception in Fact-Checking with Natural Language Explanation,neither,,
Synthesizing Post-Training Data for LLMs through Multi-Agent Simulation,neither,,
AUTALIC: A Dataset for Anti-AUTistic Ableist Language In Context,neither,,
With a Grain of SALT: Are LLMs Fair Across Social Dimensions?,neither,,
Closed-Loop Long-Horizon Robotic Planning via Equilibrium Sequence Modeling,neither,,
Mixture Compressor for Mixture-of-Experts LLMs Gains More,neither,,
CheXalign: Preference fine-tuning in chest X-ray interpretation models without human feedback,neither,,
EACO-RAG: Towards Distributed Tiered LLM Deployment using Edge-Assisted and Collaborative RAG with Adaptive Knowledge Update,neither,,
Parameter-Efficient Fine-Tuning in Large Models: A Survey of Methodologies,neither,,
What are the Essential Factors in Crafting Effective Long Context Multi-Hop Instruction Datasets? Insights and Best Practices,neither,,
InteLiPlan: An Interactive Lightweight LLM-Based Planner for Domestic Robot Autonomy,neither,,
Pareto-Optimized Open-Source LLMs for Healthcare via Context Retrieval,neither,,
Diabetica: Adapting Large Language Model to Enhance Multiple Medical Tasks in Diabetes Care and Management,neither,,
Revealing and Mitigating the Challenge of Detecting Character Knowledge Errors in LLM Role-Playing,neither,,
ValueCompass: A Framework for Measuring Contextual Value Alignment Between Human and LLMs,neither,,
Evaluating the Performance and Robustness of LLMs in Materials Science Q&A and Property Predictions,neither,,
Compositional Hardness of Code in Large Language Models -- A Probabilistic Perspective,neither,,
SSR: Alignment-Aware Modality Connector for Speech Language Models,neither,,
AnyBipe: An End-to-End Framework for Training and Deploying Bipedal Robots Guided by Large Language Models,neither,,
From Commands to Prompts: LLM-based Semantic File System for AIOS,neither,,
CFBench: A Comprehensive Constraints-Following Benchmark for LLMs,neither,,
Pandora's Box or Aladdin's Lamp: A Comprehensive Analysis Revealing the Role of RAG Noise in Large Language Models,neither,,
Retrieval-Augmented Generation for Natural Language Processing: A Survey,neither,,
ByteCheckpoint: A Unified Checkpointing System for Large Foundation Model Development,neither,,
A Comprehensive Review of Few-shot Action Recognition,neither,,
Turning Up the Heat: Min-p Sampling for Creative and Coherent LLM Outputs,neither,,
Multi-Agent Causal Discovery Using Large Language Models,neither,,
ClinicRealm: Re-evaluating Large Language Models with Conventional Machine Learning for Non-Generative Clinical Prediction Tasks,neither,,
Tensor Networks Meet Neural Networks: A Survey and Future Perspectives,neither,,
Prompt Stability Scoring for Text Annotation with Large Language Models,neither,,
Learning Dynamics of LLM Finetuning,neither,,
Lawma: The Power of Specialization for Legal Annotation,neither,,
AI-Assisted Generation of Difficult Math Questions,neither,,
Alice in Wonderland: Simple Tasks Showing Complete Reasoning Breakdown in State-Of-the-Art Large Language Models,neither,,
HORAE: A Domain-Agnostic Language for Automated Service Regulation,neither,,
GenoTEX: An LLM Agent Benchmark for Automated Gene Expression Data Analysis,neither,,
ScaleBiO: Scalable Bilevel Optimization for LLM Data Reweighting,neither,,
RS-Agent: Automating Remote Sensing Tasks through Intelligent Agent,neither,,
Attribution in Scientific Literature: New Benchmark and Methods,neither,,
Robo-Instruct: Simulator-Augmented Instruction Alignment For Finetuning Code LLMs,neither,,
ORLM: A Customizable Framework in Training Large Models for Automated Optimization Modeling,neither,,
On Understanding Attention-Based In-Context Learning for Categorical Data,neither,,
Tokenization Matters! Degrading Large Language Models through Challenging Their Tokenization,neither,,
DCA-Bench: A Benchmark for Dataset Curation Agents,neither,,
LLM meets ML: Data-efficient Anomaly Detection on Unseen Unstable Logs,neither,,
Learning Human-Aligned Representations with Contrastive Learning and Generative Similarity,neither,,
CharacterGPT: A Persona Reconstruction Framework for Role-Playing Agents,neither,,
Large Language Models for Cyber Security: A Systematic Literature Review,neither,,
A Pretraining-Finetuning Computational Framework for Material Homogenization,neither,,
Model Lakes,neither,,
Usable XAI: 10 Strategies Towards Exploiting Explainability in the LLM Era,neither,,
A Survey on Large Language Model-Based Game Agents,neither,,
MORepair: Teaching LLMs to Repair Code via Multi-Objective Fine-tuning,neither,,
Markovian Transformers for Informative Language Modeling,neither,,
AutoTRIZ: Automating Engineering Innovation with TRIZ and Large Language Models,neither,,
On the Challenges of Fuzzing Techniques via Large Language Models,neither,,
COMAE: COMprehensive Attribute Exploration for Zero-shot Hashing,neither,,
The Last JITAI? Exploring Large Language Models for Issuing Just-in-Time Adaptive Interventions: Fostering Physical Activity in a Conceptual Cardiac Rehabilitation Setting,neither,,
Bring Reason to Vision: Understanding Perception and Reasoning through Model Merging,reasoning_improvement,,
Building a Human-Verified Clinical Reasoning Dataset via a Human LLM Hybrid Pipeline for Trustworthy Medical AI,reasoning_improvement,,
Rethinking Prompt Optimizers: From Prompt Merits to Optimization,reasoning_improvement,,
RM-R1: Reward Modeling as Reasoning,reasoning_improvement,,
BARREL: Boundary-Aware Reasoning for Factual and Reliable LRMs,reasoning_improvement,,
"DeepEyes: Incentivizing ""Thinking with Images"" via Reinforcement Learning",reasoning_improvement,,
FlowKV: Enhancing Multi-Turn Conversational Coherence in LLMs via Isolated Key-Value Cache Management,reasoning_improvement,,
R-Bench: Graduate-level Multi-disciplinary Benchmarks for LLM & MLLM Complex Reasoning Evaluation,reasoning_improvement,,
T2I-R1: Reinforcing Image Generation with Collaborative Semantic-level and Token-level CoT,reasoning_improvement,,
Thoughts without Thinking: Reconsidering the Explanatory Value of Chain-of-Thought Reasoning in LLMs through Agentic Pipelines,reasoning_improvement,,
MentalMAC: Enhancing Large Language Models for Detecting Mental Manipulation via Multi-Task Anti-Curriculum Distillation,reasoning_improvement,,
When Less Language is More: Language-Reasoning Disentanglement Makes LLMs Better Multilingual Reasoners,reasoning_improvement,,
Mining Hidden Thoughts from Texts: Evaluating Continual Pretraining with Synthetic Data for LLM Reasoning,reasoning_improvement,,
Not All Thoughts are Generated Equal: Efficient LLM Reasoning via Multi-Turn Reinforcement Learning,reasoning_improvement,,
Class Distillation with Mahalanobis Contrast: An Efficient Training Paradigm for Pragmatic Language Understanding Tasks,reasoning_improvement,,
CoT-Vid: Dynamic Chain-of-Thought Routing with Self Verification for Training-Free Video Reasoning,reasoning_improvement,,
OneTwoVLA: A Unified Vision-Language-Action Model with Adaptive Reasoning,reasoning_improvement,,
VeriReason: Reinforcement Learning with Testbench Feedback for Reasoning-Enhanced Verilog Generation,reasoning_improvement,,
Solver-Informed RL: Grounding Large Language Models for Authentic Optimization Modeling,reasoning_improvement,,
Evaluating the Logical Reasoning Abilities of Large Reasoning Models,reasoning_improvement,,
SAS-Bench: A Fine-Grained Benchmark for Evaluating Short Answer Scoring with Large Language Models,reasoning_improvement,,
Connecting the Dots: A Chain-of-Collaboration Prompting Framework for LLM Agents,reasoning_improvement,,
GuardReasoner-VL: Safeguarding VLMs via Reinforced Reasoning,reasoning_improvement,,
Natural Language Planning via Coding and Inference Scaling,reasoning_improvement,,
Incentivizing Dual Process Thinking for Efficient Large Language Model Reasoning,reasoning_improvement,,
Distilling the Implicit Multi-Branch Structure in LLMs' Reasoning via Reinforcement Learning,reasoning_improvement,,
SynLogic: Synthesizing Verifiable Reasoning Data at Scale for Learning Logical Reasoning and Beyond,reasoning_improvement,,
Effective and Transparent RAG: Adaptive-Reward Reinforcement Learning for Decision Traceability,reasoning_improvement,,
Memorization or Reasoning? Exploring the Idiom Understanding of LLMs,reasoning_improvement,,
Pixel Reasoner: Incentivizing Pixel-Space Reasoning with Curiosity-Driven Reinforcement Learning,reasoning_improvement,,
Crosslingual Reasoning through Test-Time Scaling,reasoning_improvement,,
CaseEdit: Enhancing Localized Commonsense Reasoning via Null-Space Constrained Knowledge Editing in Small Parameter Language Models,reasoning_improvement,,
Automated Text-to-Table for Reasoning-Intensive Table QA: Pipeline Design and Benchmarking Insights,reasoning_improvement,,
SituatedThinker: Grounding LLM Reasoning with Real-World through Situated Thinking,reasoning_improvement,,
DeepTheorem: Advancing LLM Reasoning for Theorem Proving Through Natural Language and Reinforcement Learning,reasoning_improvement,,
Beyond 'Aha!': Toward Systematic Meta-Abilities Alignment in Large Reasoning Models,reasoning_improvement,,
Can Large Reasoning Models Self-Train?,reasoning_improvement,,
Beyond Chemical QA: Evaluating LLM's Chemical Reasoning with Modular Chemical Operations,reasoning_improvement,,
MathCoder-VL: Bridging Vision and Code for Enhanced Multimodal Mathematical Reasoning,reasoning_improvement,,
"IQBench: How ""Smart'' Are Vision-Language Models? A Study with Human IQ Tests",reasoning_improvement,,
VisionReasoner: Unified Visual Perception and Reasoning via Reinforcement Learning,reasoning_improvement,,
Let's Verify Math Questions Step by Step,reasoning_improvement,,
Feature Extraction and Steering for Enhanced Chain-of-Thought Reasoning in Language Models,reasoning_improvement,,
Discovering Pathology Rationale and Token Allocation for Efficient Multimodal Pathology Reasoning,reasoning_improvement,,
NeSyGeo: A Neuro-Symbolic Framework for Multimodal Geometric Reasoning Data Generation,reasoning_improvement,,
MTR-Bench: A Comprehensive Benchmark for Multi-Turn Reasoning Evaluation,reasoning_improvement,,
Knowledge Augmented Complex Problem Solving with Large Language Models: A Survey,reasoning_improvement,,
Memorization-Compression Cycles Improve Generalization,reasoning_improvement,,
Self-GIVE: Associative Thinking from Limited Structured Knowledge for Enhanced Large Language Model Reasoning,reasoning_improvement,,
Accelerating RL for LLM Reasoning with Optimal Advantage Regression,reasoning_improvement,,
rStar-Coder: Scaling Competitive Code Reasoning with a Large-Scale Verified Dataset,reasoning_improvement,,
Learning from Algorithm Feedback: One-Shot SAT Solver Guidance with GNNs,reasoning_improvement,,
$\text{R}^2\text{ec}$: Towards Large Recommender Models with Reasoning,reasoning_improvement,,
Latent Principle Discovery for Language Model Self-Improvement,reasoning_improvement,,
LARES: Latent Reasoning for Sequential Recommendation,reasoning_improvement,,
A Theoretical Analysis of Compositional Generalization in Neural Networks: A Necessary and Sufficient Condition,reasoning_improvement,,
DeepMath-Creative: A Benchmark for Evaluating Mathematical Creativity of Large Language Models,reasoning_improvement,,
Do Large Language Models Excel in Complex Logical Reasoning with Formal Language?,reasoning_improvement,,
Error Typing for Smarter Rewards: Improving Process Reward Models with Error-Aware Hierarchical Supervision,reasoning_improvement,,
Think-J: Learning to Think for Generative LLM-as-a-Judge,reasoning_improvement,,
Scent of Knowledge: Optimizing Search-Enhanced Reasoning with Information Foraging,reasoning_improvement,,
Fractured Chain-of-Thought Reasoning,reasoning_improvement,,
ExTrans: Multilingual Deep Reasoning Translation via Exemplar-Enhanced Reinforcement Learning,reasoning_improvement,,
Code2Logic: Game-Code-Driven Data Synthesis for Enhancing VLMs General Reasoning,reasoning_improvement,,
Towards eliciting latent knowledge from LLMs with mechanistic interpretability,reasoning_improvement,,
Mapping the Minds of LLMs: A Graph-Based Analysis of Reasoning LLM,reasoning_improvement,,
GRE Suite: Geo-localization Inference via Fine-Tuned Vision-Language Models and Enhanced Reasoning Chains,reasoning_improvement,,
The Coverage Principle: A Framework for Understanding Compositional Generalization,reasoning_improvement,,
System-1.5 Reasoning: Traversal in Language and Latent Spaces with Dynamic Shortcuts,reasoning_improvement,,
Reasoning Beyond Language: A Comprehensive Survey on Latent Chain-of-Thought Reasoning,reasoning_improvement,,
Can reasoning models comprehend mathematical problems in Chinese ancient texts? An empirical study based on data from Suanjing Shishu,reasoning_improvement,,
R1-ShareVL: Incentivizing Reasoning Capability of Multimodal Large Language Models via Share-GRPO,reasoning_improvement,,
Learning to Route Queries Across Knowledge Bases for Step-wise Retrieval-Augmented Reasoning,reasoning_improvement,,
Temporal Sampling for Forgotten Reasoning in LLMs,reasoning_improvement,,
SPA-RL: Reinforcing LLM Agents via Stepwise Progress Attribution,reasoning_improvement,,
Reasoning Is Not All You Need: Examining LLMs for Multi-Turn Mental Health Conversations,reasoning_improvement,,
Can Past Experience Accelerate LLM Reasoning?,reasoning_improvement,,
MCP Safety Training: Learning to Refuse Falsely Benign MCP Exploits using Improved Preference Alignment,reasoning_improvement,,
Attributing Response to Context: A Jensen-Shannon Divergence Driven Mechanistic Study of Context Attribution in Retrieval-Augmented Generation,reasoning_improvement,,
T2I-Eval-R1: Reinforcement Learning-Driven Reasoning for Interpretable Text-to-Image Evaluation,reasoning_improvement,,
Pretraining Language Models to Ponder in Continuous Space,reasoning_improvement,,
Pitfalls of Rule- and Model-based Verifiers -- A Case Study on Mathematical Reasoning,reasoning_improvement,,
Let's Reason Formally: Natural-Formal Hybrid Reasoning Enhances LLM's Math Capability,reasoning_improvement,,
SocialMaze: A Benchmark for Evaluating Social Reasoning in Large Language Models,reasoning_improvement,,
Sherlock: Self-Correcting Reasoning in Vision-Language Models,reasoning_improvement,,
Self-Reflective Reinforcement Learning for Diffusion-based Image Reasoning Generation,reasoning_improvement,,
Table-R1: Inference-Time Scaling for Table Reasoning,reasoning_improvement,,
Don't Take the Premise for Granted: Evaluating the Premise Critique Ability of Large Language Models,reasoning_improvement,,
Spatial-MLLM: Boosting MLLM Capabilities in Visual-based Spatial Intelligence,reasoning_improvement,,
Unified Multimodal Chain-of-Thought Reward Model through Reinforcement Fine-Tuning,reasoning_improvement,,
A Multi-Dimensional Constraint Framework for Evaluating and Improving Instruction Following in Large Language Models,reasoning_improvement,,
Scaling Reasoning can Improve Factuality in Large Language Models,reasoning_improvement,,
MPS-Prover: Advancing Stepwise Theorem Proving by Multi-Perspective Search and Data Curation,reasoning_improvement,,
Human-Aligned Bench: Fine-Grained Assessment of Reasoning Ability in MLLMs vs. Humans,reasoning_improvement,,
Daily-Omni: Towards Audio-Visual Reasoning with Temporal Alignment across Modalities,reasoning_improvement,,
"Language models can learn implicit multi-hop reasoning, but only if they have lots of training data",reasoning_improvement,,
Collision- and Reachability-Aware Multi-Robot Control with Grounded LLM Planners,reasoning_improvement,,
Can Large Language Models Correctly Interpret Equations with Errors?,reasoning_improvement,,
Optimizing Anytime Reasoning via Budget Relative Policy Optimization,reasoning_improvement,,
Seek in the Dark: Reasoning via Test-Time Instance-Level Policy Gradient in Latent Space,reasoning_improvement,,
"Trust, But Verify: A Self-Verification Approach to Reinforcement Learning with Verifiable Rewards",reasoning_improvement,,
Self-Route: Automatic Mode Switching via Capability Estimation for Efficient Reasoning,reasoning_improvement,,
DriveRX: A Vision-Language Reasoning Model for Cross-Task Autonomous Driving,reasoning_improvement,,
Beyond path selection: Better LLMs for Scientific Information Extraction with MimicSFT and Relevance and Rule-induced(R$^2$)GRPO,reasoning_improvement,,
Reinforcement Learning for Out-of-Distribution Reasoning in LLMs: An Empirical Study on Diagnosis-Related Group Coding,reasoning_improvement,,
Zooming from Context to Cue: Hierarchical Preference Optimization for Multi-Image MLLMs,reasoning_improvement,,
Segment Policy Optimization: Effective Segment-Level Credit Assignment in RL for Large Language Models,reasoning_improvement,,
Neither Stochastic Parroting nor AGI: LLMs Solve Tasks through Context-Directed Extrapolation from Training Data Priors,reasoning_improvement,,
CoT Red-Handed: Stress Testing Chain-of-Thought Monitoring,reasoning_improvement,,
BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,reasoning_improvement,,
Learning Like Humans: Advancing LLM Reasoning Capabilities via Adaptive Difficulty Curriculum Learning and Expert-Guided Self-Reformulation,reasoning_improvement,,
R2MED: A Benchmark for Reasoning-Driven Medical Retrieval,reasoning_improvement,,
DrugPilot: LLM-based Parameterized Reasoning Agent for Drug Discovery,reasoning_improvement,,
Diversity-Aware Policy Optimization for Large Language Model Reasoning,reasoning_improvement,,
Fusing Bidirectional Chains of Thought and Reward Mechanisms A Method for Enhancing Question-Answering Capabilities of Large Language Models for Chinese Intangible Cultural Heritage,reasoning_improvement,,
Silence is Not Consensus: Disrupting Agreement Bias in Multi-Agent LLMs via Catfish Agent for Clinical Decision Making,reasoning_improvement,,
TEMPURA: Temporal Event Masked Prediction and Understanding for Reasoning in Action,reasoning_improvement,,
Unearthing Gems from Stones: Policy Optimization with Negative Sample Augmentation for LLM Reasoning,reasoning_improvement,,
Trajectory Bellman Residual Minimization: A Simple Value-Based Method for LLM Reasoning,reasoning_improvement,,
STAR-R1: Spatial TrAnsformation Reasoning by Reinforcing Multimodal LLMs,reasoning_improvement,,
On the Design of KL-Regularized Policy Gradient Algorithms for LLM Reasoning,reasoning_improvement,,
Decoupled Visual Interpretation and Linguistic Reasoning for Math Problem Solving,reasoning_improvement,,
From Reasoning to Generalization: Knowledge-Augmented LLMs for ARC Benchmark,reasoning_improvement,,
Always Tell Me The Odds: Fine-grained Conditional Probability Estimation,reasoning_improvement,,
Putting the Value Back in RL: Better Test-Time Scaling by Unifying LLM Reasoners With Verifiers,reasoning_improvement,,
Learning to Think: Information-Theoretic Reinforcement Fine-Tuning for LLMs,reasoning_improvement,,
UNJOIN: Enhancing Multi-Table Text-to-SQL Generation via Schema Simplification,reasoning_improvement,,
VTool-R1: VLMs Learn to Think with Images via Reinforcement Learning on Multimodal Tool Use,reasoning_improvement,,
Towards Large Reasoning Models for Agriculture,reasoning_improvement,,
LIMOPro: Reasoning Refinement for Efficient and Effective Test-time Scaling,reasoning_improvement,,
Disentangling Reasoning and Knowledge in Medical Large Language Models,reasoning_improvement,,
MedGUIDE: Benchmarking Clinical Decision-Making in Large Language Models,reasoning_improvement,,
SLOT: Sample-specific Language Model Optimization at Test-time,reasoning_improvement,,
LLM-CoT Enhanced Graph Neural Recommendation with Harmonized Group Policy Optimization,reasoning_improvement,,
MMATH: A Multilingual Benchmark for Mathematical Reasoning,reasoning_improvement,,
ManipLVM-R1: Reinforcement Learning for Reasoning in Embodied Manipulation with Large Vision-Language Models,reasoning_improvement,,
MMMR: Benchmarking Massive Multi-Modal Reasoning Tasks,reasoning_improvement,,
Advancing Multimodal Reasoning via Reinforcement Learning with Cold Start,reasoning_improvement,,
AdaCtrl: Towards Adaptive and Controllable Reasoning via Difficulty-Aware Budgeting,reasoning_improvement,,
GreekBarBench: A Challenging Benchmark for Free-Text Legal Reasoning and Citations,reasoning_improvement,,
Enhancing Efficiency and Exploration in Reinforcement Learning for LLMs,reasoning_improvement,,
Reasoning LLMs are Wandering Solution Explorers,reasoning_improvement,,
Beyond Markovian: Reflective Exploration via Bayes-Adaptive RL for LLM Reasoning,reasoning_improvement,,
Maximizing Confidence Alone Improves Reasoning,reasoning_improvement,,
GuessArena: Guess Who I Am? A Self-Adaptive Framework for Evaluating LLMs in Domain-Specific Knowledge and Reasoning,reasoning_improvement,,
Exploring the Potential of Offline RL for Reasoning in LLMs: A Preliminary Study,reasoning_improvement,,
Benchmarking Spatiotemporal Reasoning in LLMs and Reasoning Models: Capabilities and Challenges,reasoning_improvement,,
Why Not Act on What You Know? Unleashing Safety Potential of LLMs via Self-Aware Guard Enhancement,reasoning_improvement,,
Co-PatcheR: Collaborative Software Patching with Component(s)-specific Small Reasoning Models,reasoning_improvement,,
Self-reflective Uncertainties: Do LLMs Know Their Internal Answer Distribution?,reasoning_improvement,,
Reinforcement Fine-Tuning Powers Reasoning Capability of Multimodal Large Language Models,reasoning_improvement,,
Adaptive Deep Reasoning: Triggering Deep Thinking When Needed,reasoning_improvement,,
Delving into RL for Image Generation with CoT: A Study on DPO vs. GRPO,reasoning_improvement,,
SophiaVL-R1: Reinforcing MLLMs Reasoning with Thinking Reward,reasoning_improvement,,
Let Androids Dream of Electric Sheep: A Human-like Image Implication Understanding and Reasoning Framework,reasoning_improvement,,
Steering LLM Reasoning Through Bias-Only Adaptation,reasoning_improvement,,
Generative RLHF-V: Learning Principles from Multi-modal Human Preference,reasoning_improvement,,
Ground-R1: Incentivizing Grounded Visual Reasoning via Reinforcement Learning,reasoning_improvement,,
FunReason: Enhancing Large Language Models' Function Calling via Self-Refinement Multiscale Loss and Automated Data Refinement,reasoning_improvement,,
LLMs Get Lost In Multi-Turn Conversation,reasoning_improvement,,
Soft Thinking: Unlocking the Reasoning Potential of LLMs in Continuous Concept Space,reasoning_improvement,,
Large Language Models as Computable Approximations to Solomonoff Induction,reasoning_improvement,,
Doc-CoB: Enhancing Multi-Modal Document Understanding with Visual Chain-of-Boxes Reasoning,reasoning_improvement,,
AdaReasoner: Adaptive Reasoning Enables More Flexible Thinking,reasoning_improvement,,
OCR-Reasoning Benchmark: Unveiling the True Capabilities of MLLMs in Complex Text-Rich Image Reasoning,reasoning_improvement,,
PRL: Prompts from Reinforcement Learning,reasoning_improvement,,
"Longer Context, Deeper Thinking: Uncovering the Role of Long-Context Ability in Reasoning",reasoning_improvement,,
Curriculum Guided Reinforcement Learning for Efficient Multi Hop Retrieval Augmented Generation,reasoning_improvement,,
Can MLLMs Guide Me Home? A Benchmark Study on Fine-Grained Visual Reasoning from Transit Maps,reasoning_improvement,,
Socratic-PRMBench: Benchmarking Process Reward Models with Systematic Reasoning Patterns,reasoning_improvement,,
VideoPath-LLaVA: Pathology Diagnostic Reasoning Through Video Instruction Tuning,reasoning_improvement,,
RAIDEN-R1: Improving Role-awareness of LLMs via GRPO with Verifiable Reward,reasoning_improvement,,
Pre-Act: Multi-Step Planning and Reasoning Improves Acting in LLM Agents,reasoning_improvement,,
Enhance Mobile Agents Thinking Process Via Iterative Preference Learning,reasoning_improvement,,
Graph-Reward-SQL: Execution-Free Reinforcement Learning for Text-to-SQL via Graph Matching and Stepwise Reward,reasoning_improvement,,
